Player,Team,Impact/Mat,Total Impact,Matches,Runs,Wkts
115Rahul Chahar,PBKS,23.5,94,4,0,3
116Mohammad Nabi,MI,15.5,93.3,6,34,1
117Sandeep Warrier,GT,30.9,92.9,3,0,5
118Naveen-ul-Haq,LSG,18.2,91,5,0,6
119Romario Shepherd,MI,17.4,87.4,5,56,1
120Dhruv Jurel,RR,8.9,80.7,9,102,0
121Shreyas Gopal,MI,26.6,79.8,3,0,3
122Rinku Singh,KKR,9.9,79.6,8,112,0
123Darshan Nalkande,GT,25.2,75.7,3,12,3
124Mitchell Starc,KKR,10.5,74.1,7,7,6
125Nehal Wadhera,MI,35.8,71.6,2,53,0
126Venkatesh Iyer,KKR,8.7,70.2,8,128,0
127Mitchell Marsh,DC,16.8,67.3,4,61,1
128Matt Henry,LSG,22.1,66.5,3,0,1
129Aiden Markram,SRH,8,64.6,8,167,0
130Swapnil Singh,RCB,64.6,64.6,1,12,2
131Vijaykumar Vyshak,RCB,21.2,63.6,3,1,2
132Moeen Ali,CSK,21.1,63.4,3,30,2
133Keshav Maharaj,RR,30.9,61.9,2,1,2
134Rovman Powell,RR,15.2,60.9,4,37,0
135Naman Dhir,MI,18.4,55.3,3,50,0
136Anuj Rawat,RCB,10.9,54.7,5,98,0
137Manimaran Siddharth,LSG,17.3,52.1,3,0,1
138Lockie Ferguson,RCB,17,51,3,1,3
139M Shahrukh Khan,GT,11,44,4,30,0
140Maheesh Theekshana,CSK,14,42.1,3,0,2
141Vijay Shankar,GT,5.6,33.7,6,73,0
142Dewald Brevis,MI,16.3,32.7,2,46,0
143Amit Mishra,LSG,28.7,28.7,1,0,1
144Mayank Dagar,RCB,5.3,26.8,5,0,1
145Mayank Agarwal,SRH,6.9,20.7,3,59,0
146Jhye Richardson,DC,20.5,20.5,1,2,0
147Sikandar Raza,PBKS,10.1,20.2,2,43,0
148Akash Deep,RCB,15.1,15.1,1,2,1
149Rilee Rossouw,PBKS,4.8,14.5,3,36,0
150Atharva Taide,PBKS,14.4,14.4,1,15,0
151Anukul Roy,KKR,4.1,12.5,3,3,0
152Kwena Maphaka,MI,6,12,2,0,1
153Arshad Khan,LSG,5.9,11.8,2,25,0
154Sameer Rizvi,CSK,1.9,11.8,6,15,0
155Lizaad Williams,DC,11.7,11.7,1,0,0
156Alzarri Joseph,RCB,3.8,11.6,3,0,1
157Shubham Dubey,RR,3.7,7.5,2,8,0
158Luke Wood,MI,3.4,6.9,2,9,1
159Suyash Prabhudessai,RCB,6,6,1,24,0
160Shams Mulani,MI,2.1,4.3,2,1,0
161Tanush Kotian,RR,3.5,3.5,1,24,0
162Harpreet Singh,PBKS,1.6,3.2,2,27,0
163Nuwan Thushara,MI,1.6,3.2,2,0,0
164Kane Williamson,GT,1.4,2.8,2,27,0
165Sumit Kumar,DC,0.1,0.7,4,18,0
166Saurav Chauhan,RCB,0.1,0.3,3,18,0
167Dushmantha Chameera,KKR,-0.1,-0.1,1,0,0
168Kumar Kushagra,DC,-0.3,-0.5,2,0,0
169Umran Malik,SRH,-0.9,-0.9,1,0,0
170Abhinav Manohar,GT,-0.8,-1.6,2,9,0
171Washington Sundar,SRH,-0.9,-1.7,2,0,1
172Suyash Sharma,KKR,-1.7,-3.4,2,0,0
173Shardul Thakur,CSK,-1.4,-4,3,0,0
174Shamar Joseph,LSG,-4.2,-4.2,1,0,0
175BR Sharath,GT,-4.4,-4.4,1,2,0
176Nitish Rana,KKR,-4.5,-4.5,1,9,0
177Matthew Wade,GT,-7.8,-7.8,1,4,0
178Rahul Tripathi,SRH,-5.2,-10.4,2,31,0
179Marco Jansen,SRH,-10.8,-10.8,1,1,0
180Himanshu Sharma,RCB,-13,-13,1,0,0
181Ricky Bhui,DC,-7,-14,2,3,0
182Mukesh Choudhary,CSK,-22,-22,1,0,0
